iteration,insert_nano,search_nano
1,321.14,260.2
2,616.57,355.63
3,886.36,567.5
4,1223.73,724.81
5,1553.46,809.43
6,1859.2,861.12
7,2840.83,1531.35
8,2761.42,1872.31
9,3359.91,2100.69
10,3692.25,1688.71
11,3927.42,1766.25
12,3812.44,1818.41
13,4143.96,2118.18
14,4494.83,2114.79
15,4754.25,2432.96
16,5280.82,2750.09
17,5338.48,2624.41
18,5656.77,2633.66
19,6038.19,3482.27
20,7335.6,6484.07
21,7311.13,4292.04
22,11502.8,3898.72
23,9034.77,3584.7
24,7381.64,3674.12
25,7191.32,4366.09
26,13051.3,4912.79
27,11831.6,4368.63
28,9039.21,4647.05
29,10593.4,4417.27
30,10008.2,4556.2
31,10825.1,5620.14
32,10531.6,6089.89
33,10660,5552.24
34,10636.2,5650.31
35,11560.5,7867.1
36,18007.4,6016.15
37,19538.3,6184.72
38,21074.1,6452.72
39,14103.2,5971.96
40,13429.8,7024.51
41,12699.6,6718.75
42,13752.1,10014.4
43,19963.2,8648.66
44,16332.3,6564.06
45,31030.9,5975.2
46,14700,7108.61
47,14948.1,6463.29
48,15092.6,9144.67
49,17885.5,8214.35
50,23595,23967.3
51,16636.5,7088.18
52,16273.8,7987.79
53,16871.6,7616.45
54,19881.2,9716.14
55,21856.1,13866.5
56,31488.1,10795.7
57,23961.6,10100.6
58,18169.7,9535.92
59,26192.5,12039.2
60,60939.4,11895
61,19670.6,9678.86
62,20811.5,10243.9
63,26226.7,11301.1
64,22937,14886
65,22138.5,8908.64
66,20528.4,10958
67,20980.8,9867.62
68,23004.8,15944
69,35796.3,12193.7
70,23310.7,10896.6
71,24123.8,13506.7
72,29707.7,14481.3
73,36030.4,10179.9
74,23798.6,12081.3
75,24535.1,17578
76,26768.1,17196.2
77,38205.7,11728.5
78,26274.2,12030.3
79,25918.3,16871.7
80,24197.5,27908.1
81,22592.8,10889.2
82,22815.8,11099.6
83,28817.1,12616.5
84,28720.2,14122.2
85,33838,11833.3
86,25634.4,12064.4
87,30376.1,14125.6
88,35060.1,12826.5
89,25571.5,12065.4
90,24816.6,12260.9
91,35179.9,11702.3
92,53083.7,14275
93,29298.5,14597
94,30917.8,15650.3
95,54344.3,13608.4
96,26512.2,12972
97,28457.5,16350
98,36006.3,13436.8
99,35223.2,14311.8
100,27912.6,12678.2
