iteration,insert_nano,search_nano
1,410.12,196.18
2,1041.23,727.45
3,969.09,529.22
4,1146.4,647.51
5,1501.49,748.21
6,1772.43,803.18
7,1944.56,1028.7
8,2371.78,1286.66
9,2590.82,1265.23
10,3020.07,1378.2
11,3159.44,1539.85
12,4801.44,1680.86
13,3594.55,2044.97
14,4334.09,1859.79
15,4214.49,2161.67
16,4915.93,2487.44
17,4867.26,2463.27
18,4830.13,2333.56
19,5225.04,2497.14
20,5129.91,2659.39
21,5469.06,3032.15
22,5823.18,3566.7
23,7251.04,3806.28
24,8492.74,3730.82
25,8962.45,10009.7
26,6900.2,16002.5
27,9582.51,3964.24
28,7869.2,3732.63
29,7712.02,3638.52
30,8053.59,3484.32
31,7633.5,4240.74
32,9184.1,4530.94
33,9910.81,5045.19
34,19389.1,6782.26
35,11440.1,5003.73
36,12430.9,8457.22
37,12177.6,5397.48
38,11782.2,6787.75
39,12500.8,4986.39
40,10635.6,7064.49
41,13329.8,5729.9
42,14947,6100
43,13324.7,5804.16
44,16286.5,5923.51
45,26573.5,8238.12
46,11321,5848.47
47,12201,5003.74
48,13059.1,8115.76
49,14715.8,6446.3
50,12567.4,10131.2
51,14515.6,6254.21
52,22368.8,6025.84
53,14165,5806.56
54,14732.8,6267.68
55,14507.9,8875.03
56,21484.6,7690.6
57,19772,8496.21
58,17806.6,8044.45
59,15870.6,7964.21
60,15840,7381.89
61,17194.3,8357.62
62,20981.9,11243.6
63,27923.2,11612.6
64,19525.9,8144.81
65,17167.5,8540.97
66,18805.8,8189.07
67,17871,9922.06
68,19964.5,8208.31
69,19490.1,9217.74
70,23322,8653.48
71,19142.1,8758.57
72,19023.3,8346.75
73,24655.4,9040.73
74,24769.9,9176.47
75,23746.7,9933.67
76,20125.2,9815.42
77,21378.5,8462.53
78,26224.5,9681.3
79,21707.3,10826.4
80,26294.6,10932.8
81,21855.5,9115.44
82,22850.3,10354
83,24437.3,11301
84,27115.2,10676.9
85,23020.6,11489.5
86,23935.7,10583
87,23410,11675.1
88,29089.4,13369.7
89,26772.5,17686
90,23634.9,10986.3
91,24085.9,10819.7
92,29675.9,20237.9
93,27602.2,10969.3
94,25239,11189
95,26171.3,13900.9
96,29859.2,15379.4
97,34555.2,13625.2
98,34352.7,13560.2
99,27644.5,17387.8
100,33055.2,13752
