iteration,avg_collisions,insert_nano,search_nano
1,0,1372.5,115.1
2,0,399.88,81.75
3,0,333.33,107.78
4,0,204.55,213.9
5,0,149.25,91.89
6,0,115.48,87.76
7,0,352.31,102.45
8,0,170.81,94.14
9,0,135.44,90.84
10,0,137.04,103.49
11,0,157.12,92.89
12,0,135.55,101.22
13,0,147.82,100
14,0,187.38,91.16
15,0,180.15,100.75
16,0,161.2,102.6
17,0,162.51,95.17
18,0,200.28,102.18
19,0,156.07,104.47
20,0,187.28,107.48
21,0,144.87,96.91
22,0,167.35,102.63
23,0,186.72,107.96
24,0,182.75,106.61
25,0,212.24,98.04
26,0,233.08,108.59
27,0,198.16,108.46
28,0,192.04,110.09
29,0,174.51,104.82
30,0,330.86,113.54
31,0,244.95,116.79
32,0,222.64,117.73
33,0,242.92,120.21
34,0,172.87,103.08
35,0,173.28,100.28
36,0,193.91,98.58
37,0,213.12,101.1
38,0,153.41,98.18
39,0,200.25,99.83
40,0,156.78,99.08
41,0,208.74,99.21
42,0,230.12,100.15
43,0,189.32,99.46
44,0,210.02,101.16
45,0,152.85,99.26
46,0,178.98,97.78
47,0,199.73,100.52
48,0,176.03,96.7
49,0,210.21,99.38
50,0,226.07,97.6
51,0,292.38,929.35
52,0,739.85,141.41
53,0,243.37,116.02
54,0,256.66,117.98
55,0,22928.2,2010.86
56,0,367.16,229.73
57,0,443.2,278.48
58,0,410.22,249.3
59,0,400.25,204.9
60,0,328.55,302.16
61,0,456.73,315.33
62,0,551.38,225.17
63,0,283.34,217.8
64,0,366.07,206.94
65,0,332.54,196.46
66,0,357.67,192.92
67,0,294.13,184.19
68,0,3143.92,206.77
69,0,821.3,201.92
70,0,415.05,194.62
71,0,315.88,179.27
72,0,351.2,171.83
73,0,403.51,178.52
74,0,277.35,166.63
75,0,325.17,159.34
76,0,383.47,172.32
77,0,356.97,148.51
78,0,376.68,138.86
79,0,362.29,140
80,0,329.59,132.35
81,0,306.2,133.49
82,0,300.14,136.38
83,0,454.5,135.57
84,0,352.61,131.84
85,0,328.34,132.37
86,0,402.09,132.65
87,0,275.66,132.83
88,0,20085.4,229.35
89,0,425.17,215.18
90,0,243.66,187.98
91,0,355.24,206.65
92,0,432.12,197.06
93,0,244.78,179.94
94,0,375.63,195.41
95,0,300.85,180.36
96,0,382.52,188.97
97,0,292.47,192
98,0,388,177.83
99,0,272.91,181.13
100,0,294.95,169.93
