iteration,avg_collisions,insert_nano,search_nano
1,0,524.95,71.42
2,0,151.36,75.09
3,0,208.17,92.34
4,0,220.45,85.76
5,0,163.42,87.14
6,0,269.23,88.81
7,0,153.4,84.26
8,0,190.02,86.27
9,0,221.3,87.63
10,0,192.73,83.11
11,0,238.28,89.29
12,0,236.95,91.37
13,0,262.52,91.64
14,0,264.58,90.92
15,0,266.83,90.04
16,0,237.79,90.46
17,0,296.46,88.27
18,0,250.67,87.35
19,0,255.97,86.54
20,0,333.66,89.28
21,0,249.94,85.01
22,0,375.31,99.67
23,0,356.82,103.07
24,0,359.42,101.12
25,0,17077.6,217.35
26,0,492.05,183.6
27,0,496.9,854.09
28,0,721.89,348.04
29,0,450.28,336.48
30,0,512.97,166.32
31,0,1437.61,134.12
32,0,1157.2,140.5
33,0,362.09,118.45
34,0,303.94,120.4
35,0,384.46,108.55
36,0,284.35,104.03
37,0,35148.2,417.1
38,0,518.71,195.94
39,0,520.58,165.49
40,0,476.29,144.23
41,0,371.96,138.01
42,0,14808.5,220.18
43,0,391.38,197.53
44,0,617.05,184.53
45,0,428.51,167.09
46,0,17456.9,230.45
47,0,487.7,196.48
48,0,378.83,171.94
49,0,491.68,157.91
50,0,429.17,157.88
51,0,24317.7,1828.96
52,0,1192.15,190.21
53,0,376.88,180.43
54,0,306.49,222.38
55,0,848.16,141.44
56,0,328.7,123.95
57,0,7473.47,165.91
58,0,322.21,133.01
59,0,306.14,123.67
60,0,1076.88,160.85
61,0,552.91,141.7
62,0,543.22,144.18
63,0,693.67,163.14
64,0,449.09,157.68
65,0,30513.6,212.23
66,0,311.01,388.26
67,0,638.79,321.15
68,0,994.3,183.84
69,0,350.41,174.42
70,0,590.36,164.94
71,0,774.47,154.44
72,0,20345.2,221.6
73,0,857.31,197.98
74,0,643.29,188.16
75,0,457.63,174.32
76,0,19924.6,881.12
77,0,423.36,191.66
78,0,299.96,174.11
79,0,577.01,163.49
80,0,2123.37,170.53
81,0,281.31,156.48
82,0,363.34,153.07
83,0,555.24,192.38
84,0,437.51,182.36
85,0,546.31,280.65
86,0,506.38,169.59
87,0,447.1,164.46
88,0,12680.2,389.52
89,0,845.12,193.56
90,0,448.3,202.23
91,0,485.73,192.69
92,0,678.98,257.24
93,0,477.84,167.06
94,0,691.51,162.33
95,0,916.66,160.62
96,0,625.74,154.93
97,0,514.13,163.53
98,0,419.06,154.45
99,0,310.59,150.33
100,0,20560.6,349.17
