iteration,avg_collisions,insert_nano,search_nano
1,0,744.61,108.62
2,0.01,126.8,74.65
3,0.01,70.1,73.2
4,0.01,68.05,73.14
5,0.01,68.23,74.1
6,0.01,67.94,73.9
7,0.03,301.27,78.64
8,0,84.46,82.24
9,0.01,93.46,78.58
10,0.01,68.37,76.75
11,0.01,83.47,77.44
12,0,72.36,89.11
13,0,74.81,78.96
14,0.02,123.57,88.6
15,0.01,135.45,82.94
16,0.04,96.39,81.55
17,0.01,111.89,85.43
18,0.02,97.56,90.07
19,0.03,94.78,80.73
20,0.02,146.76,83.87
21,0.03,72.31,94.09
22,0.05,128.61,88.01
23,0.01,118.51,87.89
24,0.01,118.97,92.59
25,0.02,137.48,91.77
26,0.03,118.61,88.33
27,0.03,145.93,82.02
28,0.03,117.95,86.47
29,0.06,131.67,91.54
30,0.02,126.22,92.68
31,0.04,104.64,83.4
32,0.03,116.82,83.21
33,0.05,141.37,87.37
34,0.02,88.52,86.73
35,0.04,114.45,82.11
36,0.03,152.88,94.19
37,0.09,169.38,97.59
38,0.08,122.48,96.7
39,0.04,161.15,94.7
40,0.05,122.2,84.76
41,0.07,154.13,82.67
42,0.03,149.73,82.27
43,0.05,134.2,81.24
44,0.05,132.17,80.4
45,0.09,95.97,80.89
46,0.04,121.04,79.76
47,0.07,122.15,80.56
48,0.06,125.15,89.81
49,0,142.55,84.23
50,0.07,172.66,80.95
51,0.16,106.9,79.87
52,0.1,152.16,80.97
53,0.12,162.03,80.74
54,0.06,112.45,82.32
55,0.06,189.7,80.82
56,0.08,111.97,84.24
57,0.1,93.75,79.07
58,0.08,185.91,80.77
59,0.08,168.68,79.28
60,0.04,139.96,79.93
61,0.08,15305.9,165.85
62,0.09,192.68,145.31
63,0.08,200.6,140.82
64,0.1,248.49,136.91
65,0.1,256.74,134.13
66,0.08,233.51,130.13
67,0.07,253.41,144.33
68,0.07,254.56,122.28
69,0.06,245.71,121.16
70,0.07,259.69,160.06
71,0.06,386.61,130.6
72,0.09,248.7,120
73,0.07,47156.4,179.69
74,0.14,193.46,141.02
75,0.19,155.38,124.36
76,0.04,304.66,127.46
77,0.08,154.63,125.28
78,0.08,261.54,1061.54
79,0.14,321.47,142.5
80,0.12,237.07,124.92
81,0.14,245.11,121.22
82,0.12,233.65,116.12
83,0.1,7261.76,140.55
84,0.11,217.93,126.33
85,0.2,182.41,111.03
86,0.15,237.56,110.31
87,0.11,147.36,92.52
88,0.18,156.57,92.26
89,0.05,227.03,89.77
90,0.15,159,84.62
91,0.2,136.27,82.8
92,0.13,1065.07,117.14
93,0.22,171.67,112.8
94,0.08,224.94,103.94
95,0.13,353.76,109.26
96,0.15,250.37,113.46
97,0.1,217.74,104.33
98,0.22,262.03,113.54
99,0.24,178.04,107.49
100,0.16,207.83,105.79
