iteration,avg_collisions,insert_nano,search_nano
1,0,354.34,74.92
2,0,105.34,67.04
3,0,101.37,67.16
4,0,80.95,66.68
5,0,106.02,67.52
6,0,166.79,68.32
7,0,87.67,67.84
8,0,106.42,67.38
9,0,132.1,66.73
10,0,123.09,67
11,0,167.29,68.12
12,0.02,149.05,68.68
13,0,186.06,69.33
14,0,157.75,69.7
15,0,4091.44,108.86
16,0,214.14,99.6
17,0,269.79,97.26
18,0,334.71,94.65
19,0,182.31,91.29
20,0,323.87,94.22
21,0,304.49,87.6
22,0,7848,148.19
23,0,702.84,194.09
24,0,316.3,124.43
25,0,782.45,133.42
26,0,391.01,109.96
27,0.01,7493.53,129.43
28,0,388.79,113.74
29,0,330.56,98.6
30,0,361.65,93.68
31,0,450.13,92.93
32,0,393.97,95.94
33,0,274.22,90.56
34,0,315.32,88.91
35,0,429.75,90.9
36,0,1029.6,95.01
37,0,347.91,81.76
38,0,234.56,77.34
39,0,263.39,72.45
40,0,3773.98,111.21
41,0,321.45,103.28
42,0,312.83,96.96
43,0,300.17,100.14
44,0,473.22,96.8
45,0,25785.1,159.05
46,0,368.37,117.98
47,0,331.45,101.41
48,0,232.91,105.4
49,0,302.17,101.11
50,0,243.58,88.99
51,0,247.38,96.85
52,0,383.58,531.01
53,0,630.2,175.53
54,0,370.54,100.47
55,0,363.48,93.97
56,0,452.98,97.29
57,0,474.36,98.92
58,0,413.5,114.94
59,0,320.54,96.83
60,0,10572.5,132.14
61,0,355.09,127.64
62,0,356.13,130
63,0,1426.54,258.03
64,0,661.17,239.28
65,0,409.52,197.41
66,0,280.68,245.86
67,0,290.94,124.66
68,0,331.05,86.43
69,0,198.35,92.69
70,0,653.4,109.16
71,0,331.73,98.33
72,0,392.9,88.85
73,0,356.7,88.45
74,0,264.44,87.18
75,0,18971.2,135.3
76,0,319.39,107.67
77,0,304.8,99.49
78,0,260.98,100
79,0,311.09,91.29
80,0,303.78,93.99
81,0,188.6,87.18
82,0,332.68,93.86
83,0,397.15,86.5
84,0,263.77,81.24
85,0,286.99,85.26
86,0,326.92,87.33
87,0,273.62,88.01
88,0,344.95,84.32
89,0,344.66,78.72
90,0,240.88,83.61
91,0,222.95,89
92,0,391.72,82.11
93,0,204.89,79.7
94,0,339.96,78.4
95,0,24907.6,160.07
96,0,334.23,132.9
97,0,313.88,116.37
98,0,247.33,106.17
99,0,15966.8,1206.27
100,0,409.72,158
