iteration,avg_collisions,insert_nano,search_nano
1,0,637.45,95.64
2,0.01,166.71,68.32
3,0.01,64.53,67.38
4,0.01,62.15,67.77
5,0.01,62.61,69.84
6,0.01,61.73,68.86
7,0.03,210.22,73.24
8,0,77.05,71.58
9,0.01,91.37,73.83
10,0.01,63.18,71.47
11,0.01,76.39,70.81
12,0,63.43,77.34
13,0,68.56,77.72
14,0.02,109.78,75.92
15,0.01,125.27,74.05
16,0.04,83.7,80.87
17,0.01,90.64,81.16
18,0.02,99.88,75.75
19,0.03,88.94,77.16
20,0.02,136.22,81.57
21,0.03,64.78,83.6
22,0.05,107.96,79.8
23,0.01,101.81,77.83
24,0.01,114.23,76.46
25,0.02,132.04,79.59
26,0.03,118.82,83.46
27,0.03,123.39,86.24
28,0.03,99.55,79.74
29,0.06,114.66,76.23
30,0.02,135.62,80.32
31,0.04,101.72,82.5
32,0.03,109.17,83.38
33,0.05,117.54,87.58
34,0.02,80.89,78.68
35,0.04,113.51,77.03
36,0.03,142.37,77.13
37,0.09,141.24,76.99
38,0.08,85.08,76.49
39,0.04,132.43,87.49
40,0.05,120.43,88.49
41,0.07,179.43,90.16
42,0.03,183.56,88.42
43,0.05,142.25,78.96
44,0.05,122.2,75.58
45,0.09,92.59,76
46,0.04,113.95,74.75
47,0.07,112.65,74.82
48,0.06,111.5,75.07
49,0,127.07,76.66
50,0.07,155.73,75.69
51,0.15,96.08,74.67
52,0.11,140.28,75.87
53,0.12,9240.73,108.98
54,0.06,126.76,97.53
55,0.06,190.28,92.82
56,0.08,119.4,86.14
57,0.1,99.39,85.33
58,0.08,182.06,85.15
59,0.09,160.03,85.07
60,0.04,135.51,82.77
61,0.08,106.97,80.42
62,0.09,109.5,77.63
63,0.08,124.07,77.51
64,0.09,141.96,75.91
65,0.1,148.15,75.67
66,0.08,21092.7,193.18
67,0.07,253.71,388.94
68,0.07,350.58,306.09
69,0.06,234.23,157.08
70,0.07,250.84,145.89
71,0.06,200.62,131.09
72,0.09,230.27,133.5
73,0.07,240.6,126.6
74,0.14,173.43,128.96
75,0.17,187.16,122.95
76,0.04,260.54,120.39
77,0.08,150.03,138.32
78,0.08,254.31,117.74
79,0.14,250.78,110.33
80,0.12,221.99,117.54
81,0.16,258.65,109.08
82,0.1,224.17,108.62
83,0.12,336.8,108.65
84,0.11,264.47,113.75
85,0.2,234.81,115.35
86,0.14,345.66,111.48
87,0.13,201.04,107.5
88,0.18,213.63,115.39
89,0.05,330.62,104.54
90,0.15,219.87,108.39
91,0.22,191.28,105.01
92,0.14,286.85,107.03
93,0.24,171.08,106.16
94,0.08,232.68,106.26
95,0.15,210.6,102.98
96,0.13,245.83,102.71
97,0.09,213.51,106.47
98,0.21,272.69,102.69
99,0.22,181.74,104.22
100,0.16,11018.2,165.68
