iteration,avg_collisions,insert_nano,search_nano
1,0,345.47,67.55
2,0,176.21,77.88
3,0,136.57,78.23
4,0,97.71,70.39
5,0,109.89,68.75
6,0,175.78,68.66
7,0,89.63,67.58
8,0,104,68
9,0,129.66,68.62
10,0,120.58,67.38
11,0,163.91,69.89
12,0.02,152.2,68.03
13,0,179.76,68.47
14,0,154.52,70.54
15,0,13266.4,115.91
16,0,218.61,98.89
17,0,275.56,96.36
18,0,230.87,93.41
19,0,180.03,87.9
20,0,323.27,94.16
21,0,289.97,92.87
22,0,1344.87,95.08
23,0,293.68,103.04
24,0,346.08,126.36
25,0,287.98,118.49
26,0,619.2,179.69
27,0,7131.55,160.4
28,0,402.98,128.1
29,0,308.94,117.58
30,0,362.41,102.45
31,0,428.07,103.91
32,0,9971.22,109.91
33,0,209.18,90.29
34,0,227.4,79.67
35,0,293.37,75.29
36,0,992.82,105.52
37,0,479.73,100.04
38,0,329.6,94.41
39,0,370.88,93.22
40,0,337.28,91.61
41,0.01,10696.2,130.19
42,0,318.31,118.55
43,0,319.96,106.64
44,0,475.84,99.25
45,0,5938.63,119.98
46,0,821.01,120.22
47,0,360.35,186.5
48,0,198.11,108.55
49,0,298.45,101.46
50,0,279.66,94.6
51,0,293.56,81.88
52,0,265.72,80.18
53,0,377.84,90.47
54,0,243.57,92.45
55,0,266.61,82.44
56,0,314.31,80.1
57,0,357.7,88.82
58,0,276.86,84.29
59,0,281.24,80.14
60,0,370.59,77.81
61,0,260.02,75.63
62,0,241.68,74.42
63,0,285.07,75.65
64,0,258.32,86.44
65,0,20640,184.56
66,0,288.19,110.72
67,0,269.69,108.39
68,0,313.67,90.35
69,0,241.84,91.98
70,0,336.27,91.16
71,0,321.46,82.31
72,0,362.82,83.13
73,0,381.33,95.8
74,0,297.99,84.66
75,0,213.95,84.06
76,0,289.27,79.88
77,0,320.34,89.26
78,0,234.33,86.06
79,0,283.36,84.53
80,0,319.1,79.98
81,0,183.98,78.49
82,0,291.88,76.15
83,0,436.44,89.89
84,0,277.58,94.97
85,0,50007.2,192.71
86,0,477.16,169.97
87,0,384.62,152.09
88,0,450.69,134.69
89,0,10302.4,187.21
90,0,334.89,185.31
91,0,314.66,153.17
92,0,446.23,146.52
93,0,298.76,132.07
94,0,13031.9,174.36
95,0,359.82,158.62
96,0,632.97,146.06
97,0,309.89,121.25
98,0,306.9,127.55
99,0,1070.64,125.33
100,0,258.34,111.41
